가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수,입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,소득10분위,소득구간,가계지출,소비지출,food,sigar,cloth,life,household,health,traffic,telecom,culture,edu,lodge,service,insurance,도시/읍면부 구분,연차구분,engel,freetime,happy,years
2589,1,1,1,0,0,0,1,1,3,1,2,25,6,1,J,5,1,0,0,0,0,0,0,2,0,1,927,0,0,97,1,3,3,1700415,1444905,64700,5500,0,139920,215220,11800,52650,513400,47110,0,330979,63626,226,1,1,4.5,3.3,72.8,1
2598,1,1,1,0,0,0,1,1,3,1,1,28,5,1,J,2,1,0,0,0,0,0,0,6,1,2,850,0,0,53,2,8,6,2471875,1611830,30995,0,70050,1066076,1438,71667,110465,63637,48205,0,134717,14581,13064,1,1,1.9,3,155.5,1
2655,1,4,2,0,0,1,0,2,1,1,1,50,6,1,J,9,1,0,0,0,0,0,0,2,1,1,700,0,0,110,1,8,7,1253225.75,824677.75,124931.25,5862,28750.5,54420.75,98849.5,50075.75,61175.25,36656.25,60188.5,56333.25,181292.5,66142.25,47802.25,1,6,15.1,7.3,48.2,6
2943,1,3,1,0,0,0,1,2,1,1,1,36,4,1,J,7,1,0,0,0,0,0,0,2,1,1,800,0,0,105,1,4,3,754061.3333,647020,78228,14004.33333,28257.66667,52387.66667,107354.3333,66204,55865.66667,33861,30945.66667,0,132731.6667,47180.66667,30788,1,3,12.1,4.8,39.6,3
2959,1,4,1,0,0,0,1,2,1,1,1,48,6,1,J,7,1,0,0,0,0,0,0,2,2,4,870,250000,0,85,2,9,8,1563206.75,1025408.25,143561.5,13504.5,54253,81540.5,27297,26724,88203.5,32672.75,86099.5,283650,108933,78968.75,49643.5,1,5,14,8.4,60,5
3062,2,5,2,0,0,1,0,2,1,1,1,47,4,1,J,2,5,0,0,0,0,0,0,2,1,1,500,0,0,59,1,7,5,1709090.4,1539698.4,42522,0,0,105942,1000000,12240,100360,27947,21248,101236,103360,24843.4,24843.4,1,5,2.8,1.4,50,5
3154,1,4,2,0,0,1,0,2,1,1,1,44,6,1,J,2,1,0,0,0,0,0,0,1,1,4,400,68000,0,54,2,9,8,1015614.5,539990.75,67572.25,17518.75,32889.25,24421.5,26099.5,5487.5,32750,34973.75,68636,125923.25,82175,21544.5,4829,1,5,12.5,12.7,101.6,5
3168,2,5,1,0,0,0,1,2,1,1,1,37,6,1,J,7,5,0,0,0,0,0,0,1,1,4,350,100000,0,99,2,9,7,1147105.2,465882.2,77462.8,0,42895,29296.4,46696,35292.4,12574,27755.8,29309,58818,30280,75503,20761,1,3,16.6,6.3,37.8,3
3204,2,1,1,0,0,0,1,1,3,1,2,27,6,1,J,2,5,0,0,0,0,0,0,6,0,6,490,5000,470,35,2,10,8,8527145,7227458,258566,56276,430512,631552,74114,2528449,1204748,99600,207689,0,741626,994326,65038,1,1,3.6,2.9,80.3,1
3294,1,1,1,0,0,0,1,1,3,1,2,23,6,1,J,2,1,0,0,0,0,0,0,1,0,2,350,0,0,20,2,3,3,1890875,1330915,126130,18530,95620,401353,14350,158910,55880,37248,16623,17500,176480,212293,0,1,1,9.5,1.2,13.2,1
